企業キー,法人番号,企業名,EDINETコード,証券コード,提出日,対象期間終了日,最新収集アプリver,データ整合性フラグ,分析候補,企業分類推定,総資産,純資産,負債,自己資本比率,営業利益,経常利益,当期利益,営業キャッシュフロー,投資キャッシュフロー,財務キャッシュフロー,現金及び現金同等物,ROE,平均年齢,平均年間給与,平均勤続年数,研究開発費,売上高・営業収益,従業員数,女性管理職比率,男性育休取得率,男女賃金差異_全労働者,男女賃金差異_正規,男女賃金差異_非正規,詳細業種1,詳細業種1信頼度,詳細業種2,詳細業種2信頼度,詳細業種3,詳細業種3信頼度,詳細業種候補,詳細業種根拠キーワード,しょくばらぼ_JOIN,しょくばらぼ_結合方法,しょくばらぼ_取得項目数,しょくばらぼ_企業名,しょくばらぼ_法人番号,しょくばらぼ_証券コード,しょくばらぼ_業種,しょくばらぼ_都道府県,しょくばらぼ_企業規模,しょくばらぼ_市場区分,しょくばらぼ_正社員の有給休暇取得日数_数値,しょくばらぼ_年次有給休暇取得率（全体）-取得率_数値,しょくばらぼ_年次有給休暇取得率（雇用管理区分）-取得率（一覧）_数値,しょくばらぼ_月平均所定外労働時間_数値,しょくばらぼ_対象労働者全体の月平均の法定時間外労働時間と法定休日労働時間の合計-平均残業時間（詳細）_数値,しょくばらぼ_平均の法定時間外労働60時間以上の労働者の数_数値,しょくばらぼ_男女の賃金の差異-全労働者_数値,しょくばらぼ_男女の賃金の差異-うち正規雇用労働者_数値,しょくばらぼ_男女の賃金の差異-うち非正規雇用労働者_数値,しょくばらぼ_正社員の平均継続勤務年数_数値,しょくばらぼ_従業員の平均年齢_数値,しょくばらぼ_管理職に占める女性の割合_数値,しょくばらぼ_役員に占める女性の割合_数値,しょくばらぼ_育児休業取得率（男性）-男性取得率（一覧）_数値,しょくばらぼ_育児休業取得率（女性）-女性取得率（一覧）_数値,しょくばらぼ_テレワーク制度-可否,しょくばらぼ_副業・兼業-可否,しょくばらぼ_多様な正社員制度-制度-職務限定正社員,しょくばらぼ_多様な正社員制度-制度-勤務地限定正社員,しょくばらぼ_多様な正社員制度-制度-短時間正社員,しょくばらぼ_研修制度-有無,しょくばらぼ_メンター制度-有無,しょくばらぼ_自己啓発支援制度-有無,しょくばらぼ_キャリアコンサルティング制度-有無,しょくばらぼ_社内検定制度-有無,しょくばらぼ_インターンシップの受入-可否,しょくばらぼ_職場見学・職場体験の受入-可否,しょくばらぼ_えるぼし認定-認定有無,しょくばらぼ_プラチナえるぼし認定-認定有無,しょくばらぼ_くるみん-認定有無,しょくばらぼ_プラチナくるみん-認定有無,しょくばらぼ_健康経営銘柄-認定有無,女性活躍DB_JOIN,女性活躍DB_結合方法,女性活躍DB_取得項目数,女性活躍DB_企業名,女性活躍DB_法人番号,女性活躍DB_証券コード,女性活躍DB_業種,女性活躍DB_業種(詳細分類),女性活躍DB_都道府県,女性活躍DB_企業規模,女性活躍DB_市場区分,女性活躍DB_5.男女別の育児休業取得率-男性(%)_数値,女性活躍DB_5.男女別の育児休業取得率-女性(%)_数値,女性活躍DB_6.一月当たりの労働者の平均残業時間-平均残業時間(時間)_数値,女性活躍DB_8.(1)年次有給休暇の取得率-対象労働者(%)_数値,女性活躍DB_8.(2)年次有給休暇の取得率(区)-有給休暇取得率(%)_数値,女性活躍DB_10.管理職に占める女性労働者の割合-割合(%)_数値,女性活躍DB_11.役員に占める女性の割合-割合(%)_数値,女性活躍DB_14.男女の賃金の差異1-全労働者(%)_数値,女性活躍DB_14.男女の賃金の差異2-うち正規雇用労働者(%)_数値,女性活躍DB_14.男女の賃金の差異3-うち非正規雇用労働者(%)_数値,女性活躍DB_フレックスタイム制度,女性活躍DB_在宅勤務・テレワーク,女性活躍DB_短時間勤務制度,女性活躍DB_病気・不妊治療休暇,女性活躍DB_年次有給休暇時間単位取得制度,女性活躍DB_データの最終更新日
corporate_number:2011001035049,2.011E+12,株式会社ツカダ・グローバルホールディング,E05411,24180,2026/3/25,2025/12/31,0.11.24,,yes,operating_company_candidate,1.40138E+11,39792000000,1.00345E+11,0.266,9540000000,7494000000,4768000000,10340000000,-7258000000,3597000000,27903000000,0.137,43.5,5641000,7.9,,73095000000,121,0.333,,0.695,0.736,0.326,旅行/レジャー,0.28,証券,0.14,不動産/デベロッパー,0.1,旅行/レジャー:0.28 | 証券:0.14 | 不動産/デベロッパー:0.10,"ホテル, 証券, 賃貸, 店舗, マーケティング, 人材, 建設, 教育",matched,corporate_number,77,株式会社ツカダ・グローバルホールディング,2.011E+12,,N:生活関連サービス業，娯楽業,13:東京都,107人,,,,,,11.4,,69.5,73.6,32.6,,,33.3,,100,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,60,株式会社ツカダ・グローバルホールディング,2011001035049,2418,生活関連サービス業、娯楽業,生活関連サービス業、娯楽業,東京都,101～300人,スタンダード（東証）,100.0,100.0,11.4,,,33.3,,69.5,73.6,32.6,,,短時間勤務制度,,,2026年01月22日
corporate_number:2011001038472,2.011E+12,ブランディングテクノロジー株式会社,E34975,70670,2026/6/26,2026/3/31,0.11.24,,yes,operating_company_candidate,2164501000,1269399000,895101000,0.583,78603000,80320000,44276000,32586000,-45800000,54163000,1246439000,0.036,36.4,5087000,6.8,,4795386000,94,0.231,,,0.792,,コンサル,0.26,広告/マーケティング,0.24,インターネット/メディア,0.23,コンサル:0.26 | 広告/マーケティング:0.24 | インターネット/メディア:0.23,"マーケティング, コンサルティング, 人材, 広告, コンサル, インターネット, メディア, 戦略",matched,corporate_number,32,ブランディングテクノロジー株式会社,2.011E+12,,G:情報通信業,13:東京都,112人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,25,ブランディングテクノロジー株式会社,2011001038472,7067,情報通信業,情報通信業,東京都,101～300人,グロース（東証）,,,,,,,,,,,,,,,,2026年02月04日
corporate_number:2011001041781,2.011E+12,株式会社オウケイウェイヴ,E05587,38080,2025/9/29,2025/6/30,0.11.24,,yes,operating_company_candidate,1725331000,372517000,1352813000,0.189,-114741000,-160260000,-135312000,64464000,-82985000,287800000,542309000,-0.556,40.2,6149711,10,,234701000,12,,,,,,クラウド/SaaS,0.42,インターネット/メディア,0.13,広告/マーケティング,0.12,クラウド/SaaS:0.42 | インターネット/メディア:0.13 | 広告/マーケティング:0.12,"クラウド, インターネット, サブスクリプション, 証券, 広告, プラットフォーム, 受託開発, 人材",matched,corporate_number,22,株式会社オーケーウェブ,2.011E+12,,G:情報通信業,13:東京都,176人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:2011001042870,2.011E+12,円谷フィールズホールディングス株式会社,E03407,27670,2026/6/16,2026/3/31,0.11.24,,yes,operating_company_candidate,1.0336E+11,66187000000,37173000000,0.589,17455000000,17751000000,13050000000,7477000000,-2315000000,-5195000000,30835000000,0.233,43.4,7764000,12.7,,1.74142E+11,110,0.106,,,,,ゲーム,0.21,証券,0.2,物流,0.17,ゲーム:0.21 | 証券:0.20 | 物流:0.17,"証券, 物流, コンテンツ, 人材, 戦略, ゲーム, 情報システム, マーケティング",matched,corporate_number,49,円谷フィールズホールディングス株式会社,2.011E+12,,R:サービス業（他に分類されないもの）,13:東京都,127人,,,,77.8,,10.2,,,,,,,7.1,13.3,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,38,円谷フィールズホールディングス株式会社,2011001042870,2767,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,101～300人,プライム（東証）,,,10.2,,77.8,7.1,13.3,,,,,,短時間勤務制度,,,2025年07月24日
corporate_number:2011001046938,2.011E+12,株式会社サイバー・バズ,E35089,70690,2025/12/19,2025/9/30,0.11.24,,yes,operating_company_candidate,3108217000,752480000,2355736000,0.1883,349563000,344859000,385969000,272998000,433307000,42000000,1276957000,0.9808,29.5,5957000,3.6,,7131164000,161,,,,,,広告/マーケティング,0.31,インターネット/メディア,0.28,人材/アウトソーシング,0.08,広告/マーケティング:0.31 | インターネット/メディア:0.28 | 人材/アウトソーシング:0.08,"マーケティング, 広告, メディア, インターネット, SNS, プラットフォーム, 人材, 証券",matched,corporate_number,36,株式会社サイバー・バズ,2.011E+12,,R:サービス業（他に分類されないもの）,13:東京都,178人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:有,0:無,0:無,0:無,0:無,matched,security_code,31,株式会社サイバー・バズ,2011001046938,7069,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,101～300人,グロース（東証）,,,,,,,,,,,,,,,,2026年04月30日
corporate_number:2011001053257,2.011E+12,株式会社ダブルエー,E35170,76830,2026/4/27,2026/1/31,0.11.24,,yes,operating_company_candidate,13457251000,11063972000,2393278000,0.822,1066414000,1187392000,688073000,968552000,-469248000,-680209000,2558107000,0.063,29,4103000,4.5,,23327358000,336,0.667,1,0.521,0.497,1.279,小売,0.48,素材/材料,0.12,物流,0.09,小売:0.48 | 素材/材料:0.12 | 物流:0.09,"店舗, 小売, EC, 素材, 証券, 物流, 販促, 人材",matched,corporate_number,61,株式会社ダブルエー,2.011E+12,,I:卸売業，小売業,13:東京都,400人,,,,,,,,52.1,49.7,127.9,,,,,100,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,41,株式会社ダブルエー,2011001053257,7683,卸売業、小売業,その他卸売業、小売業,東京都,301～500人,プライム（東証）,100.0,100.0,,,,,,52.1,49.7,127.9,,,,,,2026年02月13日
corporate_number:2011001053983,2.011E+12,株式会社ドトール・日レスホールディングス,E03518,30870,2026/5/26,2026/2/28,0.11.24,,yes,operating_company_candidate,1.36519E+11,1.05554E+11,30964000000,0.77,10150000000,10615000000,7234000000,7021000000,-10812000000,-8423000000,26822000000,0.069,43.4,6032000,9,,1.59147E+11,22,,,,,,外食,0.46,小売,0.14,食品/飲料,0.13,外食:0.46 | 小売:0.14 | 食品/飲料:0.13,"レストラン, 店舗, 飲食店, フランチャイズ, 物流, 食品, 証券, 菓子",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:2011001059411,2.011E+12,株式会社情報戦略テクノロジー,E39405,155A0,2026/3/25,2025/12/31,0.11.24,,yes,operating_company_candidate,4072525000,1739548000,2332977000,0.427,553165000,532928000,304310000,416644000,-1191448000,625809000,1667756000,0.174,32.3,6404000,4.4,,8019568000,339,0.083,0.538,0.678,0.675,,コンサル,0.22,クラウド/SaaS,0.14,SI/ITサービス,0.14,コンサル:0.22 | クラウド/SaaS:0.14 | SI/ITサービス:0.14,"システム開発, コンサル, クラウド, 戦略, コンサルティング, 人材, リース, インターネット",matched,corporate_number,66,株式会社情報戦略テクノロジー,2.011E+12,,G:情報通信業,13:東京都,339人,,,60.6,,,,,67.8,67.5,,,,8.3,0,53.8,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,49,株式会社情報戦略テクノロジー,2011001059411,155A,情報通信業,情報通信業,東京都,301～500人,グロース（東証）,53.8,100.0,,60.6,,8.3,0.0,67.8,67.5,,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年04月23日
corporate_number:2011001061870,2.011E+12,ギークス株式会社,E34720,70600,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,7852040000,3054682000,4797358000,0.387,875689000,842813000,643001000,744100000,79287000,-692155000,3747062000,0.222,31.95,5182000,3.86,,26375627000,173,0.214,,,,,人材/アウトソーシング,0.44,クラウド/SaaS,0.14,SI/ITサービス,0.12,人材/アウトソーシング:0.44 | クラウド/SaaS:0.14 | SI/ITサービス:0.12,"人材, 派遣, DX, SaaS, 教育, エンジニアリング, 証券, プラットフォーム",matched,corporate_number,50,ギークス株式会社,2.011E+12,,R:サービス業（他に分類されないもの）,13:東京都,167人,,,,,,,,,,,,,22.6,22.2,125,83,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,37,ギークス株式会社,2011001061870,7060,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,101～300人,スタンダード（東証）,120.0,150.0,,,,21.4,22.2,,,,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年07月02日
corporate_number:2011001063479,2.011E+12,株式会社スポーツフィールド,E35323,70800,2026/3/19,2025/12/31,0.11.24,,yes,operating_company_candidate,3885943000,2430668000,1455274000,0.626,1078874000,1082620000,783538000,863726000,-578502000,-211252000,1778220000,0.374,29.6,5211000,3.9,,4784887000,324,0.093,0.375,0.639,0.647,0.611,人材/アウトソーシング,0.41,コンサル,0.22,広告/マーケティング,0.07,人材/アウトソーシング:0.41 | コンサル:0.22 | 広告/マーケティング:0.07,"コンサル, 派遣, 採用支援, 人材, 広告, 戦略, 証券, 病院",matched,corporate_number,56,株式会社スポーツフィールド,2.011E+12,,R:サービス業（他に分類されないもの）,13:東京都,324人,,,,,,,,63.9,64.7,61.1,,,9.3,,37.5,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,40,株式会社スポーツフィールド,2011001063479,,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,301～500人,,37.5,100.0,,,,9.3,,63.9,64.7,61.1,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,,2026年02月18日
