企業キー,法人番号,企業名,EDINETコード,証券コード,提出日,対象期間終了日,最新収集アプリver,データ整合性フラグ,分析候補,企業分類推定,総資産,純資産,負債,自己資本比率,営業利益,経常利益,当期利益,営業キャッシュフロー,投資キャッシュフロー,財務キャッシュフロー,現金及び現金同等物,ROE,平均年齢,平均年間給与,平均勤続年数,研究開発費,売上高・営業収益,従業員数,女性管理職比率,男性育休取得率,男女賃金差異_全労働者,男女賃金差異_正規,男女賃金差異_非正規,詳細業種1,詳細業種1信頼度,詳細業種2,詳細業種2信頼度,詳細業種3,詳細業種3信頼度,詳細業種候補,詳細業種根拠キーワード,しょくばらぼ_JOIN,しょくばらぼ_結合方法,しょくばらぼ_取得項目数,しょくばらぼ_企業名,しょくばらぼ_法人番号,しょくばらぼ_証券コード,しょくばらぼ_業種,しょくばらぼ_都道府県,しょくばらぼ_企業規模,しょくばらぼ_市場区分,しょくばらぼ_正社員の有給休暇取得日数_数値,しょくばらぼ_年次有給休暇取得率（全体）-取得率_数値,しょくばらぼ_年次有給休暇取得率（雇用管理区分）-取得率（一覧）_数値,しょくばらぼ_月平均所定外労働時間_数値,しょくばらぼ_対象労働者全体の月平均の法定時間外労働時間と法定休日労働時間の合計-平均残業時間（詳細）_数値,しょくばらぼ_平均の法定時間外労働60時間以上の労働者の数_数値,しょくばらぼ_男女の賃金の差異-全労働者_数値,しょくばらぼ_男女の賃金の差異-うち正規雇用労働者_数値,しょくばらぼ_男女の賃金の差異-うち非正規雇用労働者_数値,しょくばらぼ_正社員の平均継続勤務年数_数値,しょくばらぼ_従業員の平均年齢_数値,しょくばらぼ_管理職に占める女性の割合_数値,しょくばらぼ_役員に占める女性の割合_数値,しょくばらぼ_育児休業取得率（男性）-男性取得率（一覧）_数値,しょくばらぼ_育児休業取得率（女性）-女性取得率（一覧）_数値,しょくばらぼ_テレワーク制度-可否,しょくばらぼ_副業・兼業-可否,しょくばらぼ_多様な正社員制度-制度-職務限定正社員,しょくばらぼ_多様な正社員制度-制度-勤務地限定正社員,しょくばらぼ_多様な正社員制度-制度-短時間正社員,しょくばらぼ_研修制度-有無,しょくばらぼ_メンター制度-有無,しょくばらぼ_自己啓発支援制度-有無,しょくばらぼ_キャリアコンサルティング制度-有無,しょくばらぼ_社内検定制度-有無,しょくばらぼ_インターンシップの受入-可否,しょくばらぼ_職場見学・職場体験の受入-可否,しょくばらぼ_えるぼし認定-認定有無,しょくばらぼ_プラチナえるぼし認定-認定有無,しょくばらぼ_くるみん-認定有無,しょくばらぼ_プラチナくるみん-認定有無,しょくばらぼ_健康経営銘柄-認定有無,女性活躍DB_JOIN,女性活躍DB_結合方法,女性活躍DB_取得項目数,女性活躍DB_企業名,女性活躍DB_法人番号,女性活躍DB_証券コード,女性活躍DB_業種,女性活躍DB_業種(詳細分類),女性活躍DB_都道府県,女性活躍DB_企業規模,女性活躍DB_市場区分,女性活躍DB_5.男女別の育児休業取得率-男性(%)_数値,女性活躍DB_5.男女別の育児休業取得率-女性(%)_数値,女性活躍DB_6.一月当たりの労働者の平均残業時間-平均残業時間(時間)_数値,女性活躍DB_8.(1)年次有給休暇の取得率-対象労働者(%)_数値,女性活躍DB_8.(2)年次有給休暇の取得率(区)-有給休暇取得率(%)_数値,女性活躍DB_10.管理職に占める女性労働者の割合-割合(%)_数値,女性活躍DB_11.役員に占める女性の割合-割合(%)_数値,女性活躍DB_14.男女の賃金の差異1-全労働者(%)_数値,女性活躍DB_14.男女の賃金の差異2-うち正規雇用労働者(%)_数値,女性活躍DB_14.男女の賃金の差異3-うち非正規雇用労働者(%)_数値,女性活躍DB_フレックスタイム制度,女性活躍DB_在宅勤務・テレワーク,女性活躍DB_短時間勤務制度,女性活躍DB_病気・不妊治療休暇,女性活躍DB_年次有給休暇時間単位取得制度,女性活躍DB_データの最終更新日
corporate_number:1010001000001,1.01E+12,北陸ロボティクス株式会社,金沢開発センター,,,,0.11.24,,yes,operating_company_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:1010001000006,1.01E+12,五洋建設株式会社,E00086,18930,2026/6/19,2026/3/31,0.11.24,,yes,operating_company_candidate,7.90413E+11,1.99033E+11,5.91379E+11,0.251,55304000000,53195000000,34692000000,68392000000,-66313000000,9594000000,71435000000,0.187,41.3,9358808,16.7,3300000000,7.94306E+11,3439,0.023,,0.601,0.636,0.526,建設,0.42,リース/信販,0.11,不動産/デベロッパー,0.08,建設:0.42 | リース/信販:0.11 | 不動産/デベロッパー:0.08,"建設, リース, 土木, 建築, 造船, 発電, 施工, 賃貸",matched,corporate_number,140,五洋建設株式会社,1.01E+12,,D:建設業,13:東京都,3946人,,,,61.4,,15.7,,60.1,63.6,52.6,,,2.3,5.2,100,100,,,,,,,,,,,,,1:有,0:無,0:無,0:無,0:無,matched,security_code,97,五洋建設株式会社,1010001000006,1893,建設業,その他建設業,東京都,1001～5000人,プライム（東証）,100.0,100.0,15.7,,61.4,2.3,5.2,60.1,63.6,52.6,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年06月24日
corporate_number:1010001000708,1.01E+12,イチカワ株式会社,E00572,35130,2026/6/18,2026/3/31,0.11.24,,yes,operating_company_candidate,32078000000,24070000000,8008000000,0.75,1570000000,1633000000,1173000000,1862000000,-2577000000,-734000000,5125000000,0.051,43.6,6300000,23.7,316000000,14791000000,523,0.015,,0.756,0.745,0.915,紙/パルプ,0.45,素材/材料,0.19,証券,0.12,紙/パルプ:0.45 | 素材/材料:0.19 | 証券:0.12,"紙, 証券, 素材, 材料, 樹脂, 板紙, 石油, パルプ",matched,corporate_number,58,イチカワ株式会社,1.01E+12,,E:製造業,13:東京都,523人,,,,,,,,75.6,74.5,91.5,,,,,63.6,66.7,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,40,イチカワ株式会社,1010001000708,3513,繊維工業,繊維工業,東京都,501～1000人,スタンダード（東証）,63.6,66.7,,,,,,75.6,74.5,91.5,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年04月30日
corporate_number:1010001003966,1.01E+12,スズデン株式会社,E02838,74800,2026/6/22,2026/3/31,0.11.24,,yes,operating_company_candidate,28351637000,16758552000,11593085000,0.591,2072075000,2339548000,1722899000,1527665000,-1982704000,-843135000,6820265000,0.097,41.4,6582000,16.7,,45902296000,307,0.07,1,0.646,0.697,0.51,半導体製造装置,0.16,半導体,0.16,物流,0.16,半導体製造装置:0.16 | 半導体:0.16 | 物流:0.16,"半導体製造装置, 半導体, 物流, 証券, 人材, 派遣, 保険, アルミ",matched,corporate_number,40,スズデン株式会社,1.01E+12,,I:卸売業，小売業,13:東京都,387人,,,,,,,,65.7,70.2,52.3,,,11.9,,50,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,33,スズデン株式会社,1010001003966,7480,卸売業、小売業,その他卸売業、小売業,東京都,301～500人,スタンダード（東証）,50.0,100.0,,,,11.9,,65.7,70.2,52.3,,,,,,2025年12月19日
corporate_number:1010001008651,1.01E+12,ウシオ電機株式会社,E01929,69250,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,3.31078E+11,1.98338E+11,1.32739E+11,0.599,11959000000,13346000000,7995000000,18144000000,-14109000000,4195000000,71868000000,0.04,44.5,7993595,20.4,13547000000,1.79211E+11,1475,0.069,,0.717,0.713,0.719,半導体製造装置,0.18,ソフトウェア,0.09,半導体,0.09,半導体製造装置:0.18 | ソフトウェア:0.09 | 半導体:0.09,"露光装置, 半導体, 電力, エンジニアリング, 光学, ガラス, 証券, パッケージ",matched,corporate_number,76,ウシオ電機株式会社,1.01E+12,,E:製造業,13:東京都,1475人,,,,83.5,,9.9,,71.6,71.3,61.9,,,6.9,36.4,84,88.9,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,58,ウシオ電機株式会社,1010001008651,6925,電子部品・デバイス・電子回路・電気機械器具・情報通信機械器具製造業,電子部品・デバイス・電子回路・電気機械器具・情報通信機械器具製造業,東京都,1001～5000人,プライム（東証）,84.0,88.9,9.9,,83.5,6.9,36.4,71.6,71.3,61.9,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年06月23日
corporate_number:1010001008692,1.01E+12,住友商事株式会社,E02528,80530,2026/6/12,2026/3/31,0.11.24,,yes,operating_company_candidate,1.36383E+13,4.62856E+12,4.93982E+12,0.339,-36812000000,5.62658E+11,6.00334E+11,8.13456E+11,-1.55892E+11,-2.52531E+11,1.00544E+12,0.129,43.3,18402971,18,,7.33726E+12,4938,0.112,,0.631,0.626,0.493,リース/信販,0.09,食品/飲料,0.07,不動産/デベロッパー,0.07,リース/信販:0.09 | 食品/飲料:0.07 | 不動産/デベロッパー:0.07,"リース, 食品, 鉄鋼, メディア, 建設, 自動車, 商事, 不動産",matched,corporate_number,155,住友商事株式会社,1.01E+12,,I:卸売業，小売業,13:東京都,4829人,,,,73,,9.8,0,63.1,62.6,49.3,,,11.3,20,79.6,98,,,,,,,,,,,,,1:有,0:無,1:有,1:有,0:無,matched,security_code,85,住友商事株式会社,1010001008692,8053,卸売業、小売業,商社,東京都,1001～5000人,プライム（東証）,79.6,98.0,9.8,,73.0,11.3,20.0,63.1,62.6,49.3,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,,2026年06月08日
corporate_number:1010001008734,1.01E+12,日産化学株式会社,E00759,40210,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,3.55078E+11,2.59051E+11,96026000000,0.719,63552000000,65897000000,49707000000,64164000000,-21178000000,-36162000000,35729000000,0.203,40.8,8707047,15.9,21376000000,2.79586E+11,2107,0.054,0.754,0.682,0.764,0.656,化学,0.2,医薬品,0.15,半導体,0.13,化学:0.20 | 医薬品:0.15 | 半導体:0.13,"半導体, 化学, 医薬品, 材料, 創薬, 機能性材料, バイオ, 制御",matched,corporate_number,96,日産化学株式会社,1.01E+12,,E:製造業,13:東京都,2044人,,,,82.2,,16.9,,66.6,74.9,64.1,,,4.7,7.4,73.1,100,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,68,日産化学株式会社,1010001008734,4021,化学工業,その他化学工業,東京都,1001～5000人,プライム（東証）,73.1,100.0,16.9,,82.2,4.7,7.4,66.6,74.9,64.1,,,,,,2025年07月30日
corporate_number:1010001008742,1.01E+12,ピーエス・コンストラクション株式会社,E01161,18710,2026/6/19,2026/3/31,0.11.24,,yes,operating_company_candidate,1.42464E+11,65486000000,76978000000,0.46,12932000000,12717000000,9328000000,-17473000000,-506000000,5243000000,9343000000,0.151,44,9816216,19,1024000000,1.4937E+11,1156,0.009,0.524,0.563,0.566,0.468,建設,0.72,不動産/デベロッパー,0.07,素材/材料,0.07,建設:0.72 | 不動産/デベロッパー:0.07 | 素材/材料:0.07,"建築, 建設, 土木, 施工, 材料, 証券, 不動産, 教育",matched,corporate_number,85,ピーエス・コンストラクション株式会社,1.01E+12,,D:建設業,13:東京都,1325人,,,,59.3,,10.3,,57.9,57.7,58.6,,,0.9,6.2,33,100,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,63,ピーエス・コンストラクション株式会社,1010001008742,1871,建設業,その他建設業,東京都,1001～5000人,プライム（東証）,33.0,100.0,10.3,,59.3,0.9,6.2,57.9,57.7,58.6,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,年次有給休暇時間単位取得制度,2025年08月28日
corporate_number:1010001008750,1.01E+12,ＤＯＷＡホールディングス株式会社,E00028,57140,2026/6/23,2026/3/31,0.11.24,,yes,operating_company_candidate,7.94476E+11,4.74629E+11,3.19846E+11,0.5734,34192000000,54325000000,62458000000,5241000000,12127000000,-10019000000,49276000000,0.1463,43.3,8313000,15.7,8449000000,7.4541E+11,98,0.037,0.829,0.661,0.66,,半導体,0.13,鉄鋼/非鉄,0.13,素材/材料,0.11,半導体:0.13 | 鉄鋼/非鉄:0.13 | 素材/材料:0.11,"材料, 半導体, 自動車, 銅, 金属材料, 自動車部品, バイオ, ウェハ",matched,corporate_number,66,ＤＯＷＡホールディングス株式会社,1.01E+12,,E:製造業,13:東京都,1010人,,,,82.5,,18.6,,66,66.1,,,,3.7,23.1,82.9,100,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,49,DOWAホールディングス株式会社,1010001008750,5714,鉄鋼業、非鉄金属・金属製品製造業,鉄鋼業、非鉄金属・金属製品製造業,東京都,1001～5000人,プライム（東証）,82.9,100.0,18.6,,82.5,3.7,23.1,66.0,66.1,,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年05月29日
corporate_number:1010001008767,1.01E+12,三井物産株式会社,E02513,80310,2026/6/12,2026/3/31,0.11.24,,yes,operating_company_candidate,2.08215E+13,8.76774E+12,6.4791E+12,0.4211,,6.39093E+11,8.33971E+11,9.52912E+11,-1.03352E+12,26896000000,9.82722E+11,0.1022,42,20589000,17.4,,1.39952E+13,5333,0.12,,0.649,0.657,0.569,石油/資源,0.14,鉄鋼/非鉄,0.11,化学,0.08,石油/資源:0.14 | 鉄鋼/非鉄:0.11 | 化学:0.08,"化学, 石油, LNG, 物流, 鉄鋼, 機械, 保険, 自動車",matched,corporate_number,152,三井物産株式会社,1.01E+12,,I:卸売業，小売業,13:東京都,5587人,,,,69,,6.1,0,59.9,60.4,54.1,,,11,29.4,91,108,,,,,,,,,,,,,1:有,0:無,1:有,1:有,0:無,matched,security_code,85,三井物産株式会社,1010001008767,8031,卸売業、小売業,商社,東京都,5001人以上,プライム（東証）,91.0,108.0,6.1,,69.0,11.0,29.4,59.9,60.4,54.1,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2025年10月10日
corporate_number:1010001008791,1.01E+12,株式会社ミクニ,E02172,72470,2026/6/26,2026/3/31,0.11.24,,yes,operating_company_candidate,1.05017E+11,40783000000,64234000000,0.3803,4181000000,3340000000,1197000000,10788000000,-4555000000,-6092000000,2056000000,0.0309,43.1,6112643,19.8,6166000000,1.03419E+11,1305,0.026,1,0.726,0.735,0.781,医療/介護,0.19,機械,0.16,計測/制御,0.11,医療/介護:0.19 | 機械:0.16 | 計測/制御:0.11,"介護, 制御, 航空, ポンプ, 福祉, 機械, 不動産, 樹脂",matched,corporate_number,73,株式会社ミクニ,1.01E+12,,E:製造業,13:東京都,1627人,,,,,,,,72.6,73.5,78.1,,,2.6,,100,100,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,53,株式会社ミクニ,1010001008791,7247,輸送用機械器具製造業,自動車,東京都,1001～5000人,スタンダード（東証）,100.0,100.0,,,,2.6,,72.6,73.5,78.1,,在宅勤務・テレワーク,,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年05月28日
corporate_number:1010001008825,1.01E+12,東京電力ホールディングス株式会社,E04498,95010,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,1.55756E+13,3.41835E+12,1.21573E+13,0.218,3.37689E+11,4.17326E+11,-4.54263E+11,5.60333E+11,-6.63604E+11,1.10429E+11,9.36676E+11,-0.127,45.1,8828772,22.1,20840000000,6.32857E+12,7157,0.071,,0.835,0.828,0.82,電力,0.58,証券,0.07,建設,0.06,電力:0.58 | 証券:0.07 | 建設:0.06,"電力, 発電, 証券, 建設, 送配電, 電気事業, 再生可能エネルギー, 物流",matched,corporate_number,147,東京電力ホールディングス株式会社,1.01E+12,,F:電気・ガス・熱供給・水道業,13:東京都,7999人,,,75.6,,,24.2,,83.5,82.8,82,,,6.8,13,100,138.9,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,102,東京電力ホールディングス株式会社,1010001008825,9501,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,東京都,5001人以上,プライム（東証）,100.0,138.9,24.2,75.6,,6.8,13.0,83.5,82.8,82.0,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年06月04日
corporate_number:1010001008833,1.01E+12,日本曹達株式会社,E00766,40410,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,3.07305E+11,2.06094E+11,1.01211E+11,0.666,14970000000,22990000000,18271000000,21594000000,-10800000000,-11274000000,21907000000,0.093,44.6,9491473,20.2,7098000000,1.52091E+11,1316,0.075,,0.824,0.819,0.813,化学,0.21,プラント/エンジニアリング,0.14,建設,0.1,化学:0.21 | プラント/エンジニアリング:0.14 | 建設:0.10,"化学, エンジニアリング, 医薬品, 材料, 建設, 倉庫, トレーディング, 化成品",matched,corporate_number,137,日本曹達株式会社,1.01E+12,,E:製造業,13:東京都,1407人,,,,66.8,,5.2,,77.4,76.2,86.2,,,5.4,14.3,85.7,100,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,89,日本曹達株式会社,1010001008833,4041,化学工業,その他化学工業,東京都,1001～5000人,プライム（東証）,85.7,100.0,5.2,76.9,66.8,5.4,14.3,77.4,76.2,86.2,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2025年09月10日
corporate_number:1010001012983,1.01E+12,株式会社 大塚商会,E05099,47680,2026/3/26,2025/12/31,0.11.24,,yes,operating_company_candidate,7.292E+11,3.99588E+11,3.29611E+11,0.541,89943000000,91525000000,64303000000,92218000000,-20475000000,-47613000000,2.5362E+11,0.168,42,10276291,17.6,3461000000,1.32279E+12,8287,0.126,,0.614,0.658,0.665,SI/ITサービス,0.37,コンサル,0.22,ソフトウェア,0.11,SI/ITサービス:0.37 | コンサル:0.22 | ソフトウェア:0.11,"システムインテグレーション, コンサルティング, パッケージ, 証券, クラウド, コンサル, 情報システム, センサ",matched,corporate_number,114,株式会社大塚商会,1.01E+12,,G:情報通信業,13:東京都,8673人,,,,63.9,,14.3,,61.4,65.8,66.5,,,12.6,5.1,54.9,100,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,69,株式会社大塚商会,1010001012983,4768,情報通信業,情報通信業,東京都,5001人以上,プライム（東証）,54.9,100.0,14.3,,63.9,12.6,5.1,61.4,65.8,66.5,,,,,,2026年06月03日
corporate_number:1010001014427,1.01E+12,株式会社共立メンテナンス,E04908,96160,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,3.16655E+11,1.45528E+11,1.71126E+11,0.46,24845000000,26204000000,18709000000,50921000000,-44478000000,-2166000000,29634000000,0.153,38.1,5281524,6.1,474000000,2.75247E+11,3544,0.201,0.763,0.515,0.772,0.768,旅行/レジャー,0.33,保険,0.13,外食,0.13,旅行/レジャー:0.33 | 保険:0.13 | 外食:0.13,"ホテル, リゾート, 保険, 建設, 外食, 不動産, 証券, 人材",matched,corporate_number,48,株式会社共立メンテナンス,1.01E+12,,R:サービス業（他に分類されないもの）,13:東京都,4472人,,,,,,19.5,,51.8,77.2,76.8,,,20.1,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,37,株式会社共立メンテナンス,1010001014427,9616,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,1001～5000人,プライム（東証）,,,19.5,,,20.1,,51.8,77.2,76.8,,,,,,2026年06月18日
corporate_number:1010001016860,1.01E+12,株式会社ニッスイ,E00014,13320,2026/6/23,2026/3/31,0.11.24,,yes,operating_company_candidate,7.49509E+11,3.09943E+11,4.39566E+11,0.4004,40430000000,43187000000,27517000000,53242000000,-61403000000,13129000000,24251000000,0.0954,42.82,8506166,15.8,5002000000,9.31265E+11,1489,0.091,0.911,0.593,0.729,0.763,食品/飲料,0.25,物流,0.25,医薬品,0.11,食品/飲料:0.25 | 物流:0.25 | 医薬品:0.11,"食品, 物流, 医薬品, エンジニアリング, 素材, 信販, 証券, 倉庫",matched,corporate_number,104,株式会社ニッスイ,1.01E+12,,E:製造業,13:東京都,1505人,,,,79.5,,14.3,,59.3,72.9,76.3,,,9.1,14.8,91.1,111,,,,,,,,,,,,,0:無,0:無,1:有,0:無,1:有,matched,security_code,72,株式会社ニッスイ,1010001016860,1332,その他製造業,その他製造業,東京都,1001～5000人,プライム（東証）,91.1,111.0,14.3,,79.5,9.1,14.8,59.3,72.9,76.3,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,年次有給休暇時間単位取得制度,2026年06月22日
corporate_number:1010001019335,1.01E+12,株式会社ＣＡＣ Ｈｏｌｄｉｎｇｓ,E05036,47250,2026/3/25,2025/12/31,0.11.24,,yes,operating_company_candidate,53719000000,35812000000,17907000000,0.6558,2580000000,2392000000,3271000000,1543000000,-1339000000,-1188000000,11759000000,0.0901,41.2,9456000,11.5,894000000,50588000000,85,0.26,,,,,証券,0.42,人材/アウトソーシング,0.34,SI/ITサービス,0.22,証券:0.42 | 人材/アウトソーシング:0.34 | SI/ITサービス:0.22,"証券, BPO, システムインテグレーション, 人材, システム開発, ITサービス, 戦略",matched,corporate_number,66,株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1.01E+12,,G:情報通信業,13:東京都,1098人,,,57.7,,,,,71.9,74.4,58.9,,,22.4,13.6,100,290,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,55,株式会社CAC Holdings,1010001019335,4725,情報通信業,情報通信業,東京都,1001～5000人,プライム（東証）,100.0,290.0,,57.7,,22.4,13.6,71.9,74.4,58.9,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年04月23日
corporate_number:1010001019483,1.01E+12,株式会社ジェイエイシーリクルートメント,E05625,21240,2026/3/26,2025/12/31,0.11.24,,yes,operating_company_candidate,30895000000,22345000000,8549000000,0.723,11683000000,11709000000,8400000000,9566000000,-8777000000,-4609000000,15312000000,0.415,35,8159000,3.9,,46089000000,2002,0.264,0.586,0.824,0.845,0.899,コンサル,0.39,人材/アウトソーシング,0.21,広告/マーケティング,0.19,コンサル:0.39 | 人材/アウトソーシング:0.21 | 広告/マーケティング:0.19,"人材, 広告, コンサル, コンサルティング, 証券, インターネット, 戦略, 教育",matched,corporate_number,105,株式会社ジェイエイシーリクルートメント,1.01E+12,,R:サービス業（他に分類されないもの）,13:東京都,2188人,,,,66,,12.8,,82.4,84.5,89.9,,,26.7,18.2,58,96,,,,,,,,,,,,,1:有,0:無,0:無,0:無,0:無,matched,company_name,65,株式会社ジェイエイシーリクルートメント,1010001019483,,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,1001～5000人,,58.0,96.0,12.8,,66.0,26.7,18.2,82.4,84.5,89.9,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年03月24日
corporate_number:1010001022710,1.01E+12,株式会社中央経済社ホールディングス,E00723,94760,2025/12/18,2025/9/30,0.11.24,,yes,operating_company_candidate,6085643000,4353748000,1731895000,0.715,234501000,254573000,245313000,365138000,57087000,-67065000,2107732000,0.058,40,6578337,13,,3256664000,69,,,,,,証券,0.39,広告/マーケティング,0.36,インターネット/メディア,0.09,証券:0.39 | 広告/マーケティング:0.36 | インターネット/メディア:0.09,"証券, 広告, インターネット, 人材, 倉庫, 情報システム, 研修",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:1010001024087,1.01E+12,東光電気工事株式会社,E00265,,2026/6/19,2026/3/31,0.11.24,,yes,operating_company_candidate,1.72477E+11,1.04126E+11,68350000000,0.599,7188000000,8290000000,6242000000,10325000000,-5877000000,3142000000,31106000000,0.0641,,,,85000000,1.24714E+11,1366,,,,,,建設,0.28,電力,0.26,保険,0.1,建設:0.28 | 電力:0.26 | 保険:0.10,"発電, 建設, 施工, 介護, 設備工事, 証券, 保険, 再生可能エネルギー",matched,corporate_number,60,東光電気工事株式会社,1.01E+12,,D:建設業,13:東京都,1323人,,,,51.4,,,,65.2,65.5,59.4,,,3.8,,,,,,,,,,,,,,,,1:有,0:無,0:無,0:無,0:無,matched,company_name,54,東光電気工事株式会社,1010001024087,,建設業,その他建設業,東京都,1001～5000人,,,,,,51.4,3.8,,65.2,65.5,59.4,,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年02月03日
corporate_number:1010001031109,1.01E+12,山崎金属産業株式会社,E02624,,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,39664130000,21418358000,18245772000,0.523,272192000,636196000,740174000,1007331000,585892000,-2162846000,1941181000,0.039,,,,8465000,42179926000,110,,,,,,不動産/デベロッパー,0.36,素材/材料,0.34,鉄鋼/非鉄,0.12,不動産/デベロッパー:0.36 | 素材/材料:0.34 | 鉄鋼/非鉄:0.12,"素材, 不動産, 賃貸, 非鉄, 証券, 材料, 銅, 販売代理",matched,corporate_number,21,山崎金属産業株式会社,1.01E+12,,I:卸売業，小売業,13:東京都,113人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,19,山崎金属産業株式会社,1010001031109,,卸売業、小売業,商社,東京都,101～300人,,,,,,,,,,,,,,,,,
corporate_number:1010001031554,1.01E+12,株式会社ユーラシア旅行社,E04365,93760,2025/12/24,2025/9/30,0.11.24,,yes,operating_company_candidate,3219014000,1844340000,1374673000,0.573,115107000,123861000,113905000,149172000,-18798000,-51570000,1991198000,0.063,39.3,5389666,14,,4787696000,47,0.684,,,,,旅行/レジャー,0.73,証券,0.14,人材/アウトソーシング,0.13,旅行/レジャー:0.73 | 証券:0.14 | 人材/アウトソーシング:0.13,"旅行, 証券, 派遣, 観光",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:1010001034202,1.01E+12,東海東京フィナンシャル・ホールディングス株式会社,E03764,86160,2026/6/23,2026/3/31,0.11.24,,yes,operating_company_candidate,1.52628E+12,2.09529E+11,1.31676E+12,0.128,14815000000,20492000000,16569000000,4737000000,-20734000000,-2737000000,92623000000,0.088,38,7901258,11,,97716000000,155,0.234,,0.703,0.78,0.467,証券,0.84,人材/アウトソーシング,0.07,銀行,0.05,証券:0.84 | 人材/アウトソーシング:0.07 | 銀行:0.05,"証券, 金融商品取引, 人材, 銀行, クレジット, トレーディング, 貸出, 店舗",matched,corporate_number,138,東海東京フィナンシャル・ホールディングス株式会社,1.01E+12,,J:金融業，保険業,13:東京都,2800人,,,,53.4,,14.9,,72.2,74.5,49.7,,,16.9,11.3,40.4,111.5,,,,,,,,,,,,,1:有,0:無,0:無,0:無,0:無,matched,security_code,90,東海東京フィナンシャル･ホールディングス株式会社,1010001034202,8616,金融業、保険業,証券,東京都,1001～5000人,プライム（東証）,40.4,111.5,14.9,,53.4,16.9,11.3,72.2,74.5,49.7,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2025年08月19日
